Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Justin Champagnie,SF,21,TOT,4,0,3.8,0.8,0.8,1.000,0.0,0.0,,0.8,0.8,1.000,1.000,0.0,0.0,,0.3,0.8,1.0,0.3,0.0,0.0,0.0,0.5,1.5
Justin Champagnie,SF,21,TOR,3,0,3.7,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,0.0,0.0,,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.3,2.0
Justin Champagnie,SF,21,BOS,1,0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Kennedy Chandler,PG,20,MEM,36,0,7.8,1.0,2.3,.422,0.1,0.4,.133,0.9,1.9,.485,.434,0.2,0.4,.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2
Max Christie,SG,19,LAL,40,3,12.8,1.1,2.7,.415,0.7,1.6,.419,0.5,1.1,.409,.538,0.4,0.4,.875,0.2,1.7,1.9,0.5,0.2,0.2,0.3,0.8,3.2
Josh Christopher,SG,21,HOU,63,1,12.0,2.3,5.1,.461,0.3,1.4,.239,2.0,3.7,.545,.494,0.7,0.9,.759,0.3,0.8,1.1,1.1,0.5,0.2,0.9,0.9,5.7
Brandon Clarke,PF,26,MEM,56,8,19.5,4.1,6.2,.656,0.0,0.1,.167,4.1,6.1,.665,.658,1.8,2.4,.723,1.6,3.9,5.5,1.3,0.6,0.7,1.0,2.3,10.0
Jordan Clarkson,SG,30,UTA,61,61,32.6,7.5,16.9,.444,2.5,7.5,.338,5.0,9.4,.530,.519,3.3,4.0,.816,1.2,2.9,4.0,4.4,0.5,0.2,3.0,2.0,20.8
Nic Claxton,C,23,BRK,76,76,29.9,5.4,7.7,.705,0.0,0.0,.000,5.4,7.7,.708,.705,1.8,3.2,.541,2.4,6.8,9.2,1.9,0.9,2.5,1.3,2.8,12.6
Amir Coffey,SG,25,LAC,49,9,12.7,1.1,3.0,.386,0.2,0.8,.275,0.9,2.1,.429,.424,1.0,1.3,.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.5
John Collins,PF,25,ATL,71,71,30.0,5.1,10.0,.508,1.0,3.4,.292,4.1,6.6,.619,.557,2.0,2.5,.803,1.1,5.4,6.5,1.2,0.6,1.0,1.1,3.1,13.1
Zach Collins,C,25,SAS,63,26,22.9,4.5,8.7,.518,0.9,2.3,.374,3.6,6.4,.571,.568,1.7,2.3,.761,1.8,4.5,6.4,2.9,0.6,0.8,2.0,3.2,11.6
Mike Conley,PG,35,TOT,65,64,30.3,3.8,9.1,.424,2.0,5.2,.382,1.9,3.9,.480,.533,2.0,2.4,.835,0.5,2.2,2.8,6.7,1.1,0.2,1.5,2.1,11.7
Mike Conley,PG,35,UTA,43,42,29.7,3.6,8.7,.408,1.8,5.0,.362,1.8,3.8,.469,.511,1.8,2.2,.813,0.4,2.1,2.5,7.7,1.0,0.2,1.7,2.2,10.7
Mike Conley,PG,35,MIN,22,22,31.5,4.4,9.8,.451,2.4,5.7,.416,2.0,4.1,.500,.572,2.5,2.8,.871,0.7,2.5,3.3,4.9,1.3,0.2,1.2,1.8,13.6
Pat Connaughton,SG,30,MIL,61,33,23.7,2.7,6.9,.392,1.8,5.3,.339,0.9,1.6,.566,.521,0.4,0.7,.659,0.8,3.8,4.6,1.3,0.6,0.2,0.5,1.1,7.6
Xavier Cooks,PF,27,WAS,9,0,9.8,1.3,1.9,.706,0.0,0.1,.000,1.3,1.8,.750,.706,0.4,0.9,.500,1.0,1.7,2.7,0.7,0.4,0.2,0.8,1.2,3.1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Covington,PF,32,LAC,46,0,16.3,2.2,4.9,.440,1.1,2.9,.388,1.0,2.0,.516,.556,0.7,0.9,.750,0.6,2.8,3.4,1.2,0.8,0.7,0.7,1.8,6.1
Torrey Craig,SF,32,PHO,78,60,24.9,2.9,6.4,.455,1.3,3.2,.393,1.6,3.2,.518,.554,0.4,0.6,.711,1.9,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.5
Jae Crowder,SF,32,MIL,17,2,18.5,2.4,4.8,.488,1.2,2.9,.429,1.1,1.9,.576,.616,0.6,0.7,.833,1.0,2.8,3.8,1.2,0.6,0.4,0.4,1.5,6.5
Jarrett Culver,SG,23,ATL,10,1,13.7,1.7,4.3,.395,0.1,1.2,.083,1.6,3.1,.516,.407,0.9,1.3,.692,1.0,2.8,3.8,0.6,0.6,0.2,0.7,1.4,4.4
Cade Cunningham,PG,21,DET,12,12,33.3,7.8,18.7,.415,1.4,5.1,.279,6.3,13.6,.466,.453,3.0,3.6,.837,1.0,5.2,6.2,6.0,0.8,0.6,3.3,2.8,19.9
Seth Curry,SG,32,BRK,61,7,19.9,3.4,7.4,.463,1.5,3.8,.405,1.9,3.6,.525,.568,0.8,0.9,.927,0.2,1.4,1.6,1.6,0.6,0.1,0.8,1.6,9.2
Stephen Curry,PG,34,GSW,55,55,34.9,10.0,20.3,.492,4.9,11.4,.426,5.1,8.9,.577,.612,4.6,5.1,.914,0.7,5.4,6.1,6.3,0.9,0.4,3.2,2.1,29.5
Dyson Daniels,PG,19,NOP,59,11,17.7,1.5,3.5,.418,0.5,1.5,.314,1.0,2.1,.492,.483,0.4,0.7,.650,0.6,2.6,3.2,2.3,0.7,0.2,1.0,1.7,3.8
Anthony Davis,C,29,LAL,55,53,34.0,9.7,17.2,.565,0.3,1.3,.257,9.4,15.9,.591,.575,6.3,8.0,.783,3.5,9.0,12.5,2.6,1.0,2.0,2.1,2.6,26.1
Johnny Davis,SG,20,WAS,27,4,14.2,2.3,5.6,.411,0.5,2.0,.255,1.8,3.6,.500,.457,0.4,0.9,.522,0.3,1.9,2.1,0.7,0.3,0.3,0.6,1.6,5.6
Terence Davis,SG,25,SAC,63,5,13.1,2.4,5.6,.428,1.4,3.7,.374,1.0,1.9,.533,.552,0.5,0.7,.829,0.3,1.9,2.2,1.1,0.7,0.2,0.8,1.6,6.8
JD Davison,PG,20,BOS,11,0,2.8,0.5,1.2,.385,0.1,0.4,.250,0.4,0.8,.444,.423,0.0,0.0,,0.1,0.5,0.5,0.7,0.2,0.0,0.2,0.4,1.0
Darius Days,PF,23,HOU,4,0,6.3,1.3,3.0,.417,0.8,2.5,.300,0.5,0.5,1.000,.542,0.5,0.5,1.000,0.3,1.3,1.5,0.3,0.0,0.3,0.0,0.5,3.8
Dewayne Dedmon,C,33,TOT,37,1,11.0,1.9,3.9,.497,0.3,1.0,.289,1.6,2.8,.571,.535,0.9,1.3,.667,0.9,2.5,3.4,0.6,0.2,0.5,0.6,1.9,5.0
Dewayne Dedmon,C,33,MIA,30,0,11.7,2.1,4.3,.496,0.4,1.2,.297,1.8,3.1,.576,.539,1.1,1.5,.727,0.9,2.7,3.6,0.5,0.2,0.5,0.6,2.0,5.7
Dewayne Dedmon,C,33,PHI,7,1,8.1,1.0,2.0,.500,0.0,0.1,.000,1.0,1.9,.538,.500,0.0,0.6,.000,0.9,1.7,2.6,0.9,0.1,0.7,0.6,1.3,2.0
Matthew Dellavedova,PG,32,SAC,32,0,6.7,0.5,1.6,.340,0.3,0.8,.333,0.3,0.7,.348,.430,0.1,0.2,.571,0.0,0.4,0.4,1.3,0.2,0.0,0.3,0.6,1.5
DeMar DeRozan,SF,33,CHI,73,73,36.4,8.9,17.6,.505,0.6,1.9,.326,8.3,15.8,.526,.522,6.2,7.2,.872,0.5,4.2,4.7,5.1,1.1,0.5,2.1,2.5,24.7
Moussa Diabaté,PF,21,LAC,21,1,9.2,1.1,2.2,.500,0.0,0.1,.500,1.0,2.1,.500,.511,0.5,0.8,.625,1.5,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7
Mamadi Diakite,PF,26,CLE,21,2,7.6,1.0,2.1,.455,0.3,0.9,.316,0.7,1.2,.560,.523,0.1,0.1,1.000,0.4,1.0,1.3,0.2,0.1,0.4,0.5,1.1,2.3
Hamidou Diallo,SG,24,DET,56,0,17.8,3.8,6.7,.573,0.1,0.4,.238,3.8,6.3,.593,.580,1.6,2.6,.588,1.0,2.4,3.5,1.0,0.9,0.3,1.3,2.2,9.3
Gorgui Dieng,C,33,SAS,29,1,10.9,1.3,3.5,.376,0.6,2.3,.273,0.7,1.2,.571,.465,0.2,0.3,.750,0.8,2.2,3.1,1.6,0.1,0.4,0.9,1.7,3.4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ousmane Dieng,SF,19,OKC,38,0,13.8,1.8,4.4,.410,0.6,2.4,.267,1.2,2.0,.579,.482,0.3,0.5,.611,0.5,2.1,2.6,1.0,0.3,0.2,0.6,1.1,4.5
Spencer Dinwiddie,PG,29,TOT,79,79,34.5,5.8,13.3,.438,2.3,6.2,.369,3.5,7.1,.498,.524,3.4,4.2,.812,0.4,3.1,3.4,6.5,0.8,0.3,1.8,2.4,17.3
Spencer Dinwiddie,PG,29,DAL,53,53,34.1,6.0,13.1,.455,2.6,6.4,.405,3.4,6.7,.504,.555,3.2,3.9,.821,0.4,2.7,3.1,5.3,0.7,0.3,1.7,2.3,17.7
Spencer Dinwiddie,PG,29,BRK,26,26,35.3,5.5,13.7,.404,1.7,5.7,.289,3.9,8.0,.488,.465,3.8,4.7,.797,0.3,3.8,4.1,9.1,1.1,0.3,2.1,2.4,16.5
Donte DiVincenzo,SG,26,GSW,71,35,26.4,3.3,7.5,.435,2.1,5.3,.397,1.2,2.3,.525,.574,0.8,1.0,.812,1.1,3.4,4.5,3.4,1.3,0.1,1.5,1.9,9.4
Luka Dončić,PG,23,DAL,66,66,36.2,10.9,22.0,.496,2.8,8.2,.342,8.1,13.8,.588,.560,7.8,10.5,.742,0.8,7.8,8.6,8.0,1.4,0.5,3.6,2.5,32.4
Tyler Dorsey,SG,26,DAL,3,0,2.7,1.3,1.7,.800,0.3,0.7,.500,1.0,1.0,1.000,.900,0.0,0.0,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,0.0,3.0
Luguentz Dort,SG,23,OKC,74,73,30.7,4.6,11.8,.388,1.8,5.5,.330,2.8,6.3,.440,.466,2.7,3.5,.772,1.7,2.9,4.6,2.1,1.0,0.3,1.2,3.3,13.7
Ayo Dosunmu,SG,23,CHI,79,51,26.2,3.5,7.1,.495,0.7,2.3,.314,2.8,4.7,.584,.546,0.8,1.0,.815,0.6,2.2,2.8,2.6,0.8,0.3,1.3,2.3,8.6
Devon Dotson,PG,23,WAS,6,0,8.8,0.2,1.7,.100,0.2,0.7,.250,0.0,1.0,.000,.150,0.0,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5
Jeff Dowtin,PG,25,TOR,25,0,10.4,1.0,2.3,.439,0.2,0.6,.313,0.8,1.6,.488,.482,0.2,0.4,.667,0.2,0.7,0.9,1.2,0.4,0.1,0.2,0.5,2.4
PJ Dozier,SG,26,SAC,15,0,3.7,0.5,1.7,.320,0.1,0.9,.154,0.4,0.8,.500,.360,0.0,0.0,,0.0,0.7,0.7,0.3,0.2,0.1,0.2,0.3,1.2
Goran Dragić,PG,36,TOT,57,0,14.9,2.4,5.7,.415,0.9,2.5,.364,1.4,3.2,.456,.495,0.5,0.8,.689,0.3,1.1,1.4,2.6,0.2,0.1,1.1,1.1,6.2
Goran Dragić,PG,36,CHI,51,0,15.4,2.5,5.9,.425,0.9,2.5,.352,1.6,3.4,.480,.500,0.5,0.8,.659,0.3,1.1,1.4,2.7,0.2,0.1,1.1,1.2,6.4
Goran Dragić,PG,36,MIL,6,0,10.3,1.2,4.0,.292,1.2,2.5,.467,0.0,1.5,.000,.438,0.7,0.7,1.000,0.5,1.0,1.5,1.8,0.3,0.0,1.0,0.3,4.2
Andre Drummond,C,29,CHI,66,0,12.7,2.5,4.0,.610,0.0,0.0,.000,2.5,4.0,.617,.610,1.0,1.8,.537,2.0,4.6,6.6,0.5,0.7,0.4,1.1,1.8,5.9
Chris Duarte,SF,25,IND,46,12,19.5,2.7,7.2,.369,1.2,3.8,.316,1.5,3.5,.428,.452,1.3,1.6,.847,0.4,2.1,2.5,1.4,0.5,0.2,0.9,1.4,7.9
David Duke Jr.,SG,23,BRK,22,0,8.3,1.4,3.0,.477,0.0,0.4,.125,1.4,2.6,.526,.485,0.3,0.5,.636,0.4,0.6,1.0,0.8,0.3,0.0,0.7,1.2,3.2
Kris Dunn,PG,28,UTA,20,1,24.5,5.0,9.3,.535,0.8,1.7,.455,4.2,7.6,.553,.576,1.6,2.2,.744,0.4,3.7,4.1,5.1,1.1,0.5,1.5,2.7,12.3
Kevin Durant,PF-SF,34,TOT,47,47,35.6,10.3,18.3,.560,2.0,4.9,.404,8.3,13.4,.617,.614,6.5,7.1,.919,0.4,6.3,6.7,5.0,0.7,1.4,3.3,2.1,29.1
Kevin Durant,PF,34,BRK,39,39,36.0,10.5,18.8,.559,1.8,4.8,.376,8.7,14.0,.622,.607,6.8,7.3,.934,0.4,6.4,6.7,5.3,0.8,1.5,3.5,2.4,29.7
Kevin Durant,SF,34,PHO,8,8,33.6,9.1,16.0,.570,2.8,5.1,.537,6.4,10.9,.586,.656,5.0,6.0,.833,0.4,6.0,6.4,3.5,0.3,1.3,2.5,0.9,26.0
Jalen Duren,C,19,DET,66,30,24.8,3.9,6.0,.651,0.0,0.0,.000,3.9,5.9,.655,.651,1.5,2.4,.611,3.4,5.3,8.7,1.1,0.7,0.9,1.3,2.7,9.2
Tari Eason,PF,21,HOU,81,5,21.5,3.6,8.0,.447,0.7,2.1,.343,2.9,5.9,.483,.492,1.3,1.7,.752,2.4,3.6,6.0,1.0,1.2,0.6,1.2,2.3,9.2
Anthony Edwards,SG,21,MIN,77,77,36.1,8.9,19.4,.459,2.7,7.3,.368,6.2,12.1,.513,.528,4.0,5.3,.763,0.5,5.2,5.7,4.5,1.5,0.7,3.3,2.4,24.5
Kessler Edwards,SF,22,TOT,35,4,10.7,1.0,2.6,.396,0.5,1.5,.315,0.5,1.1,.514,.489,0.3,0.4,.733,0.6,1.1,1.7,0.7,0.4,0.2,0.4,1.0,2.9
Kessler Edwards,SF,22,BRK,14,1,5.6,0.4,1.7,.250,0.1,0.9,.167,0.3,0.9,.333,.292,0.1,0.1,.500,0.4,0.6,1.0,0.1,0.2,0.1,0.3,0.2,1.1
Kessler Edwards,SF,22,SAC,21,3,14.1,1.4,3.2,.448,0.7,2.0,.357,0.7,1.2,.600,.560,0.5,0.6,.769,0.8,1.4,2.2,1.0,0.5,0.2,0.4,1.6,4.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keon Ellis,SG,23,SAC,15,0,3.8,0.5,0.9,.538,0.4,0.7,.600,0.1,0.2,.333,.769,0.2,0.3,.600,0.3,0.3,0.5,0.3,0.3,0.1,0.1,0.7,1.5
Joel Embiid,C,28,PHI,66,66,34.6,11.0,20.1,.548,1.0,3.0,.330,10.0,17.1,.587,.573,10.0,11.7,.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1
Drew Eubanks,C,25,POR,78,28,20.3,2.7,4.3,.641,0.1,0.2,.389,2.7,4.1,.655,.651,1.1,1.6,.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6
Bruno Fernando,C,24,TOT,38,4,10.1,1.3,2.7,.505,0.0,0.1,.000,1.3,2.6,.515,.505,0.8,1.2,.696,1.3,2.0,3.3,0.8,0.2,0.9,0.6,1.9,3.5
Bruno Fernando,C,24,HOU,31,4,11.7,1.5,3.0,.516,0.0,0.0,.000,1.5,3.0,.522,.516,1.0,1.4,.682,1.5,2.4,3.9,1.0,0.2,1.0,0.6,2.2,4.1
Bruno Fernando,C,24,ATL,7,0,2.9,0.4,1.1,.375,0.0,0.1,.000,0.4,1.0,.429,.375,0.3,0.3,1.000,0.4,0.3,0.7,0.1,0.0,0.3,0.4,0.4,1.1
Dorian Finney-Smith,PF,29,TOT,66,66,30.4,3.0,7.6,.391,1.7,5.1,.337,1.2,2.5,.503,.505,0.7,0.9,.763,1.7,3.1,4.8,1.5,0.8,0.5,0.9,2.2,8.3
Dorian Finney-Smith,PF,29,DAL,40,40,32.2,3.2,7.8,.416,1.9,5.4,.355,1.3,2.3,.559,.540,0.8,1.0,.750,1.7,3.0,4.7,1.5,1.0,0.5,0.9,2.0,9.1
Dorian Finney-Smith,PF,29,BRK,26,26,27.7,2.6,7.3,.351,1.4,4.7,.306,1.2,2.7,.429,.448,0.6,0.7,.789,1.8,3.1,4.9,1.6,0.7,0.6,1.0,2.5,7.2
Malachi Flynn,PG,24,TOR,52,1,12.6,1.5,4.4,.351,0.9,2.5,.349,0.7,1.9,.354,.450,0.4,0.6,.724,0.3,1.1,1.4,1.3,0.4,0.1,0.4,1.2,4.3
Simone Fontecchio,SF,27,UTA,50,6,14.2,2.0,5.6,.362,1.1,3.4,.326,0.9,2.1,.421,.462,0.7,0.9,.795,0.6,0.9,1.4,0.7,0.3,0.2,0.7,1.1,5.9
Bryn Forbes,SG,29,MIN,25,0,10.7,1.2,3.3,.361,0.6,1.8,.304,0.6,1.5,.432,.446,0.6,0.6,1.000,0.2,0.4,0.6,0.7,0.3,0.1,0.5,0.9,3.6
Trent Forrest,PG,24,ATL,22,3,11.8,1.1,2.5,.446,0.0,0.1,.000,1.1,2.5,.463,.446,0.1,0.1,.667,0.2,1.4,1.6,1.5,0.3,0.1,0.7,0.8,2.4
Michael Foster Jr.,PF,20,PHI,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Evan Fournier,SG,30,NYK,26,7,17.2,2.2,6.2,.346,1.3,4.3,.315,0.8,2.0,.412,.454,0.7,0.8,.857,0.2,1.7,1.8,1.4,0.6,0.1,0.8,1.7,6.3
De'Aaron Fox,PG,25,SAC,72,72,33.6,9.4,18.3,.512,1.6,5.1,.324,7.8,13.3,.583,.556,4.8,6.1,.780,0.5,3.7,4.2,6.2,1.2,0.3,2.5,2.4,25.2
Markelle Fultz,PG,24,ORL,59,59,29.9,5.9,11.4,.514,0.4,1.4,.310,5.4,10.0,.543,.533,1.9,2.4,.783,1.2,2.8,3.9,5.7,1.5,0.4,2.4,2.2,14.1
Wenyen Gabriel,PF,25,LAL,67,2,15.0,2.3,3.8,.595,0.1,0.5,.278,2.1,3.3,.647,.615,0.8,1.3,.619,1.7,2.5,4.2,0.5,0.4,0.5,0.7,2.1,5.5
Daniel Gafford,C,24,WAS,78,47,20.6,3.7,5.1,.732,0.0,0.0,,3.7,5.1,.732,.732,1.6,2.4,.679,2.1,3.5,5.6,1.1,0.4,1.3,1.1,2.4,9.0
Darius Garland,PG,23,CLE,69,69,35.5,7.6,16.4,.462,2.4,6.0,.410,5.1,10.4,.492,.537,4.0,4.7,.863,0.4,2.3,2.7,7.8,1.2,0.1,2.9,2.1,21.6
Usman Garuba,PF,20,HOU,74,1,12.9,1.2,2.4,.494,0.3,0.8,.421,0.8,1.6,.530,.563,0.4,0.6,.617,1.6,2.5,4.1,0.9,0.6,0.4,0.6,1.8,3.0
Luka Garza,C,24,MIN,27,0,8.8,2.3,4.1,.550,0.5,1.4,.368,1.7,2.7,.644,.613,1.5,1.9,.788,1.1,1.1,2.2,0.7,0.1,0.1,0.5,1.6,6.6
Rudy Gay,PF,36,UTA,56,0,14.6,1.9,5.1,.380,0.6,2.3,.254,1.4,2.8,.484,.437,0.8,0.9,.857,0.6,2.3,2.9,1.0,0.3,0.3,0.7,1.2,5.2
Paul George,SG,32,LAC,56,56,34.6,8.2,17.9,.457,2.8,7.6,.371,5.4,10.3,.521,.536,4.6,5.3,.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taj Gibson,C,37,WAS,49,2,9.8,1.3,2.6,.520,0.2,0.5,.333,1.2,2.1,.564,.552,0.6,0.9,.714,0.7,1.2,1.9,0.7,0.3,0.2,0.5,1.7,3.4
Josh Giddey,SG,20,OKC,76,76,31.1,7.1,14.7,.482,1.0,3.1,.325,6.1,11.6,.524,.516,1.4,1.9,.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,1.9,16.6
Shai Gilgeous-Alexander,PG,24,OKC,68,68,35.5,10.4,20.3,.510,0.9,2.5,.345,9.5,17.8,.533,.531,9.8,10.9,.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,2.8,31.4
Anthony Gill,PF,30,WAS,58,8,10.4,1.2,2.1,.548,0.1,0.5,.148,1.1,1.7,.660,.565,0.8,1.1,.746,0.6,1.0,1.7,0.6,0.1,0.2,0.3,1.2,3.2
Rudy Gobert,C,30,MIN,68,68,31.0,5.2,7.9,.657,0.0,0.0,.000,5.2,7.9,.661,.657,3.2,4.9,.648,3.4,8.4,11.7,1.2,0.8,1.3,1.8,3.1,13.6
Jordan Goodwin,PG,24,WAS,61,6,17.7,2.5,5.6,.442,0.6,1.8,.318,1.9,3.8,.502,.494,0.8,1.1,.769,0.9,2.3,3.3,2.7,0.9,0.4,0.9,1.5,6.3
Aaron Gordon,PF,27,DEN,67,67,30.3,6.3,11.2,.563,0.9,2.6,.345,5.4,8.7,.628,.603,2.8,4.6,.608,2.4,4.2,6.6,3.0,0.8,0.8,1.5,1.9,16.3
Eric Gordon,SG,34,TOT,67,56,28.7,4.3,9.5,.450,1.9,5.1,.376,2.4,4.4,.536,.551,2.1,2.6,.821,0.2,1.7,2.0,2.7,0.6,0.4,1.5,1.1,12.6
Eric Gordon,SG,34,HOU,47,47,30.2,4.5,10.2,.439,1.8,5.2,.347,2.7,5.0,.536,.528,2.3,2.9,.815,0.3,1.8,2.1,2.9,0.6,0.4,1.8,1.0,13.1
Eric Gordon,SG,34,LAC,20,9,25.4,3.9,8.0,.481,2.2,4.9,.449,1.7,3.1,.532,.619,1.6,1.9,.842,0.2,1.6,1.8,2.3,0.6,0.4,1.0,1.5,11.5
Devonte' Graham,PG,27,TOT,73,8,18.3,2.2,5.9,.374,1.6,4.6,.352,0.6,1.3,.452,.512,1.3,1.8,.748,0.3,1.4,1.7,2.7,0.6,0.2,0.7,1.1,7.4
Devonte' Graham,PG,27,NOP,53,0,15.3,1.6,4.4,.368,1.2,3.6,.347,0.4,0.8,.463,.511,0.8,1.1,.746,0.2,1.1,1.4,2.2,0.6,0.2,0.5,0.9,5.3
Devonte' Graham,PG,27,SAS,20,8,26.4,3.8,10.0,.380,2.7,7.4,.358,1.2,2.6,.442,.513,2.7,3.6,.750,0.4,2.2,2.5,4.0,0.8,0.3,1.3,1.6,13.0
Jerami Grant,PF,28,POR,63,63,35.7,6.9,14.5,.475,2.3,5.7,.401,4.6,8.8,.523,.554,4.4,5.4,.813,0.8,3.7,4.5,2.4,0.8,0.8,1.8,2.4,20.5
A.J. Green,SG,23,MIL,35,1,9.9,1.5,3.6,.424,1.3,3.0,.419,0.3,0.6,.450,.600,0.1,0.1,1.000,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4
Danny Green,SG,35,TOT,10,0,11.4,1.7,3.7,.459,1.3,2.7,.481,0.4,1.0,.400,.635,0.1,0.1,1.000,0.2,0.8,1.0,0.5,0.6,0.2,0.7,1.1,4.8
Danny Green,SG,35,MEM,3,0,14.3,1.0,3.7,.273,1.0,2.7,.375,0.0,1.0,.000,.409,0.0,0.0,,0.3,1.0,1.3,0.7,0.3,0.0,1.0,2.0,3.0
Danny Green,SG,35,CLE,7,0,10.1,2.0,3.7,.538,1.4,2.7,.526,0.6,1.0,.571,.731,0.1,0.1,1.000,0.1,0.7,0.9,0.4,0.7,0.3,0.6,0.7,5.6
Draymond Green,PF,32,GSW,72,72,31.6,3.4,6.5,.527,0.5,1.8,.302,2.9,4.7,.612,.569,1.1,1.5,.713,0.9,6.3,7.3,6.9,1.0,0.8,2.8,3.2,8.4
Jalen Green,SG,20,HOU,75,75,34.3,7.5,18.0,.416,2.5,7.3,.338,5.0,10.6,.471,.485,4.8,6.1,.786,0.6,3.2,3.8,3.7,0.8,0.2,2.7,1.7,22.3
JaMychal Green,PF,32,GSW,56,1,14.0,2.4,4.5,.540,0.8,2.0,.382,1.7,2.5,.664,.624,0.9,1.2,.776,1.3,2.4,3.6,0.9,0.4,0.4,0.9,1.9,6.5
Javonte Green,SG,29,CHI,32,1,15.0,1.9,3.4,.565,0.4,1.1,.371,1.5,2.3,.658,.625,0.9,1.4,.667,0.8,1.9,2.8,0.7,0.8,0.7,0.6,1.6,5.2
Jeff Green,PF,36,DEN,55,4,19.6,2.9,5.9,.489,0.5,1.9,.291,2.3,4.0,.581,.535,1.6,2.1,.748,0.7,1.9,2.6,1.2,0.3,0.3,0.8,1.8,7.9
Josh Green,SG,22,DAL,60,21,25.7,3.4,6.4,.537,1.1,2.8,.402,2.3,3.6,.643,.626,1.1,1.6,.723,0.9,2.1,3.0,1.7,0.7,0.1,1.2,2.6,9.1
AJ Griffin,SF,19,ATL,71,11,19.3,3.4,7.3,.467,1.4,3.6,.394,2.0,3.7,.538,.563,0.6,0.6,.909,0.5,1.6,2.1,1.0,0.6,0.2,0.6,1.2,8.8
Blake Griffin,C,33,BOS,40,15,14.1,1.6,3.2,.488,0.6,1.6,.349,1.0,1.6,.625,.575,0.5,0.8,.656,1.2,2.7,3.8,1.5,0.4,0.2,0.5,1.9,4.2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quentin Grimes,SG,22,NYK,70,65,29.8,3.9,8.4,.465,2.2,5.7,.383,1.7,2.7,.635,.594,1.1,1.4,.794,0.7,2.6,3.3,2.1,0.7,0.4,1.0,2.5,11.1
Rui Hachimura,PF,24,TOT,62,9,23.3,4.5,9.2,.489,0.8,2.5,.331,3.7,6.7,.548,.534,1.4,1.9,.741,0.8,3.7,4.5,0.9,0.3,0.4,0.9,1.2,11.2
Rui Hachimura,PF,24,WAS,30,0,24.3,5.3,10.8,.488,1.0,3.0,.337,4.3,7.8,.545,.534,1.5,1.9,.759,0.6,3.6,4.3,1.2,0.4,0.4,1.2,1.3,13.0
Rui Hachimura,PF,24,LAL,32,9,22.3,3.8,7.7,.492,0.7,2.0,.323,3.1,5.7,.552,.535,1.3,1.8,.724,1.0,3.7,4.7,0.7,0.3,0.4,0.5,1.0,9.5
Tyrese Haliburton,PG,22,IND,56,56,33.6,7.4,15.0,.490,2.9,7.2,.400,4.5,7.8,.572,.586,3.1,3.6,.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7
Jordan Hall,SF,21,SAS,9,0,9.2,1.0,3.1,.321,0.3,1.7,.200,0.7,1.4,.462,.375,0.8,1.0,.778,0.3,1.0,1.3,1.2,0.1,0.0,0.8,0.7,3.1
R.J. Hampton,PG,21,TOT,46,2,16.2,2.2,5.2,.430,0.9,2.5,.353,1.3,2.6,.504,.517,1.2,1.7,.750,0.4,1.5,1.9,1.2,0.6,0.2,0.9,1.1,6.6
R.J. Hampton,PG,21,ORL,26,0,13.9,1.9,4.4,.439,0.7,2.0,.340,1.2,2.3,.525,.518,1.2,1.4,.838,0.3,1.2,1.5,1.3,0.6,0.2,0.8,0.8,5.7
R.J. Hampton,PG,21,DET,20,2,19.3,2.6,6.2,.423,1.2,3.2,.365,1.5,3.0,.483,.516,1.3,2.0,.667,0.5,2.0,2.4,1.0,0.6,0.3,1.1,1.5,7.7
